WADMKK,E,E,WADMKK,January,February,March,April,May,June,July,August,September,October,November,December
Bengkayang,K1,K1,BENGKAYANG,0,0,0,0,0,0,0,0,0,0,0,0
Kapuas Hulu,K2,K2,KAPUAS_HULU,0,0,0,0,0,0,0,0,0,0,0,0
Kayong Utara,K3,K3,KAYONG_UTARA,0,0,0,0,0,0,0,0,0,0,0,0
Ketapang,K4,K4,KETAPANG,0,0,0,0,0,0,0,0,0,0,0,0
Kota Pontianak,K5,K5,KOTA_PONTIANAK,1,1,1,1,0,2,0,1,0,0,0,0
Kota Singkawang,K6,K6,KOTA_SINGKAWANG,0,1,0,0,0,0,1,0,0,0,0,0
Kubu Raya,K7,K7,KUBU_RAYA,0,0,2,1,1,0,1,0,0,0,0,0
Landak,K8,K8,LANDAK,0,0,0,0,0,0,0,0,0,0,0,0
Melawi,K9,K9,MELAWI,0,0,0,0,0,0,0,0,0,0,0,0
Mempawah,K10,K10,MEMPAWAH,0,0,0,0,0,0,0,0,0,0,0,0
Sambas,K11,K11,SAMBAS,0,0,0,0,0,0,0,0,0,0,0,0
Sanggau,K12,K12,SANGGAU,0,0,0,0,0,0,0,0,0,0,0,0
Sekadau,K13,K13,SEKADAU,0,0,0,0,0,0,0,0,0,0,0,0
Sintang,K14,K14,SINTANG,0,0,0,0,0,0,0,0,0,0,0,0
